UID,Session,Experiment,Runs
1,001_SWJN_01_PL2017,SWJN,8
2,002_SWJN_05_PL2017,SWJN,8
3,003_SWJN_07_PL2017,SWJN,8
4,004_SWJN_09_PL2017,SWJN,8
5,005_SWJN_11_PL2017,SWJN,8
6,006_SWJN_12_PL2017,SWJN,8
7,007_KAN_parametric_07_PL2017,PassAudio,2
8,008_SWJNV2_01_PL2017,SWJNV2,8
9,009_SWJNV2_02_PL2017,SWJNV2,7
10,010_SWJNV2_03_PL2017,SWJNV2,8
11,011_SWJNV2_04_PL2017,SWJNV2,8
12,012_SWJNV2_05_PL2017,SWJNV2,8
13,013_SWJNV2_06_PL2017,SWJNV2,8
14,014_SWJNV2_07_PL2017,SWJNV2,8
15,015_SWJNV2_08_PL2017,SWJNV2,6
16,016_SWJNV2_09_PL2017,SWJNV2,6
17,017_domspec_09_PL2017,SWNlocIPS168,5
18,018_FED_20150817a_3T1_PL2017,langlocSN,2
19,019_KAN_langmus_05_PL2017,SWNlocIPS168,2
20,020_SWJNV2_12_PL2017,SWJNV2,6
21,021_domspec_10_PL2017,SWNlocIPS168,5
22,022_SWJNaudio_06_PL2017,SWJNaud,4
23,023_langmus_07_PL2017,SWNlocIPS168,4
24,024_SWJNV2_13_PL2017,SWJNV2,6
25,025_SWJNV2_15_PL2017,SWJNV2,6
26,026_SWJNaudio_11_PL2017,SWJNaud,4
27,027_SWJNaudio_12_PL2017,SWJNV2,4
28,028_SWJNaudio_13_PL2017,SWJNV2,4
29,029_SWJNaudio_14_PL2017,SWJNV2,4
30,030_KAN_langstroopBL_11_PL2017,SWNlocIPS168,5
31,031_SWJNaudio_16_PL2017,SWJNV2,4
32,032_SWJNaudio_17_PL2017,SWJNaud,4
33,033_SWJNaudio_18_PL2017,SWJNaud,4
34,034_domspec_01_PL2017,SWNlocIPS168,4
35,035_domspec_04_PL2017,SWNlocIPS168,4
36,036_KAN_EvDB_20150501b_PL2017,langlocSN,2
37,037_domspec_06_PL2017,SWNlocIPS168,4
38,038_domspec_07_PL2017,SWNlocIPS168,4
39,039_domspec_08_PL2017,SWNlocIPS168,5
40,040_domspec_11_PL2017,SWNlocIPS168,4
41,041_KAN_domspec_12_PL2017,SWNlocIPS168,5
42,042_KAN_domspec_13_PL2017,SWNlocIPS168,4
43,043_FED_20170630b_3T2_PL2017,langlocSN,2
44,044_langmus_02_PL2017,SWNlocIPS168,5
45,045_FED_20160817a_3T2_PL2017,langlocSN,2
46,046_KAN_langmus_08_PL2017,SWNlocIPS168,5
47,047_KAN_syntax_12_PL2017,SWNlocIPS168,4
48,048_langmus_10_PL2017,SWNlocIPS168,5
49,049_KAN_langmus_11_PL2017,SWNlocIPS168,5
50,050_KAN_evDB_20131218b_PL2017,langlocSN,2
51,051_langmus_13_PL2017,SWNlocIPS168,4
52,052_langmus_14_PL2017,SWNlocIPS168,5
